# Data of high-end double precision AMD GPUs over the last years
# Collected by Karl Rupp
# Details and discussion at 
# http://www.karlrupp.net/2013/06/cpu-gpu-and-mic-hardware-characteristics-over-time/
#
#Year  GFLOPs-SP  GFLOPs-DP  Pixel-Shader  Mem-BW  TDP  CUs   Freq(MHz)  Name
2007      496         99       320           72    106    4   777        "HD3870" Radeon 
#2008     1200        240       800          115    150   10   750        "HD4870"
2009     2720        544      1600          154    228   20   850        "HD5870"
#2010     2703        675      1536          176    250   24   880        "HD6970"
2011     2703        675      1536          176    250   24   880        "HD6970"
#2012     4096       1024      2048          288    250   32   1000       "HD7970"
2013     4300       1075      2048          288    250   40   1000       "HD8970"
#2014     5238       2619      2816          320    275   44   930        "W9100" FirePro 
2015     5240       2620      2816          320    275   44   930        "S9170"
#2016    12300        768      4096          437    300   64   1500       "MI25" Radeon 
2018    14725       7362      4096         1024    300   64   1800       "MI60"
2020    23100      11500      7680         1228    300  120   1502       "MI100"
2021    45300      45300     13312         3277    500  208   1700       "MI250"
2024   163400      81700     19456         6144   1000  304   2100       "MI325X"
