# Data of high-end double precision NVIDIA GPUs over the last years
# Collected by Karl Rupp
# Details and discussion at 
# http://www.karlrupp.net/2013/06/cpu-gpu-and-mic-hardware-characteristics-over-time/
#
#H100 specs https://www.techpowerup.com/gpu-specs/h100-pcie-80-gb.c3899
#Year   GFLOPs   Pixel-Shader   Mem-BW     TDP   SMs  Freq(MHz)   Name 
2008      78        240           102      188   30   1296        "C1060"
#2009      78        240           102      188   30   1296        "C1060"
2010     515        448           144      238   14   1150        "C2050"
#2011     666        512           177      250   16   1300        "M2090"
2012    1173       2496           208      225   13   706         "K20"
2013    1312       2688           250      250   14   732         "K20X"
2014    1430       2880           288      235   15   745         "K40"
2016    4700       3584           720      250   56   1328        "P100"
2017    7800       5120           900      300   80   1455        "V100"
2020    9700       6912          1555      400  108   1410        "A100"
2023    34500     16896          3360      700  132   1095        "H100" SXM
2024    34500     16896          4890      700  132   1980        "H200" SXM

